State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.79662	1.79191	1.80605	1.80134	1.78247	1.89093	2.03711	2.08427	2.08899	2.27289	2.30118	2.26818	2.13142	2.21630	2.27761	2.33891	2.38606	2.39550	2.38135	2.41436	2.43322
2	3.32325	3.35402	3.34889	3.34377	3.28222	3.36941	3.33864	3.32838	3.27710	3.11298	3.18991	3.37966	3.49762	3.37966	3.54378	3.56429	3.56429	3.73353	3.75404	3.66173	3.70276
3	2.28583	2.30532	2.33038	2.29140	2.29697	2.27470	2.32481	2.28027	2.28583	2.21901	2.07423	2.07423	2.02969	2.11043	2.14105	2.08259	2.11878	2.16054	2.19952	2.23015	2.19395
4	4.32080	4.17290	3.89823	3.86126	3.66582	3.56017	3.44396	3.21683	3.15873	2.93160	2.72559	2.54072	2.47733	2.53015	2.63051	2.79954	2.85765	2.76785	2.83123	2.84708	2.81539
5	0.51756	0.49720	0.48121	0.46231	0.46958	0.47104	0.47976	0.47830	0.48267	0.50447	0.48993	0.49284	0.51029	0.51610	0.46522	0.48412	0.48121	0.49430	0.49430	0.49866	0.51756
6	1.50183	1.43973	1.46514	1.46231	1.46231	1.45384	1.46231	1.48207	1.41714	1.37198	1.32116	1.33810	1.25059	1.17154	1.14331	1.07556	1.04733	1.07274	1.04451	1.09532	1.06427
7	2.33790	2.38201	2.40634	2.42801	2.45463	2.48200	2.50443	2.54169	2.59910	2.65614	2.72153	2.74282	2.78351	2.80822	2.82039	2.80404	2.77514	2.74282	2.72191	2.69682	2.66032
8	4.56155	4.50558	4.48459	4.43661	4.38064	4.27170	4.18675	4.05582	3.86792	3.64704	3.40517	3.23826	3.07435	2.90344	2.75052	2.63958	2.54663	2.42669	2.33275	2.24579	2.19082
9	1.44856	1.44772	1.44563	1.43727	1.43560	1.44103	1.43477	1.42725	1.41889	1.40009	1.39257	1.37418	1.37335	1.36081	1.33867	1.32781	1.32655	1.31360	1.30483	1.29731	1.30149
10	0.53162	0.53133	0.53157	0.53389	0.53562	0.53630	0.53683	0.54146	0.54604	0.55457	0.56354	0.57087	0.57627	0.58234	0.58929	0.59715	0.60438	0.61330	0.62068	0.62776	0.63480
