State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.02173	3.34638	3.65022	3.86249	3.83336	3.58779	3.26730	2.89687	2.20595	1.76060	1.39016	1.10714	1.11962	1.24865	1.61492	2.46817	3.23817	3.50871	3.27979	2.88022	2.67627
2	5.29165	6.04760	7.28790	9.26604	12.21288	17.06997	24.19038	33.38399	42.81752	46.18081	45.35244	43.96276	35.03169	25.54837	17.97077	12.26268	8.40145	5.90727	4.28220	3.36330	2.85631
3	4.64217	5.18528	6.13878	7.27167	8.55448	9.95524	10.98492	11.36092	11.17906	13.39325	14.30497	9.36299	8.23746	7.62555	7.43633	7.16846	6.51969	5.51458	4.54633	3.76485	3.14557
4	8.17765	9.86074	11.54383	13.45536	15.26900	16.45788	16.47187	15.35292	13.44604	10.58340	12.24317	23.33942	32.14182	39.66675	43.80686	44.40364	41.73214	36.55700	30.68252	25.36751	20.30893
5	1.13564	0.98294	0.79046	0.63647	0.51970	0.44014	0.40678	0.37085	0.35032	0.33107	0.31310	0.30155	0.33620	0.35930	0.38240	0.43372	0.58386	0.91621	1.36020	1.94791	2.50482
6	2.73840	2.38956	2.10799	1.60217	1.30068	0.97924	0.84220	0.82227	0.80482	0.82974	0.83472	0.82476	0.83971	0.87708	0.97177	1.39038	2.39703	4.22097	6.04739	7.22598	8.15040
7	1.24974	1.18933	1.12591	1.04503	0.93261	0.83159	0.72018	0.60943	0.53426	0.49198	0.47218	0.46177	0.47520	0.49567	0.52151	0.58326	0.69803	0.84300	1.00174	1.15074	1.25175
8	0.68369	0.63869	0.59547	0.57694	0.56106	0.53283	0.52048	0.50372	0.50990	0.51695	0.54342	0.57253	0.59282	0.60605	0.61399	0.63605	0.65104	0.68633	0.75867	0.86453	1.00833
9	1.97372	2.00248	2.00543	2.00580	1.97372	1.91140	1.78380	1.64661	1.50389	1.40211	1.34827	1.36597	1.44673	1.55552	1.67095	1.75761	1.82805	1.86862	1.89628	1.88521	1.86124
10	0.64742	0.62976	0.60410	0.57112	0.53269	0.48392	0.43519	0.38846	0.35408	0.33178	0.32037	0.31905	0.32863	0.34118	0.35480	0.37118	0.38965	0.40804	0.42332	0.43574	0.44826
