State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.73731	0.35771	1.68718	1.38357	2.30142	1.39021	2.61254	0.48518
2	0.67794	44.66392	6.60029	1.17332	3.19024	45.34930	17.73760	0.22407
3	1.24876	15.60050	2.88774	0.86640	2.07167	14.30541	7.89761	0.45246
4	0.65822	18.66161	4.72817	2.13167	2.72588	12.24355	19.38071	0.19558
5	2.39151	0.19721	0.48712	2.27128	0.48853	0.31311	0.70833	0.24732
6	1.23160	0.33864	1.58395	2.28877	1.32130	0.83475	2.04447	0.17216
7	9.14448	0.68560	2.47155	2.02735	2.72144	0.47219	0.82589	0.39662
8	3.47868	0.75916	5.01936	2.30547	3.40552	0.54344	0.67069	0.22239
9	8.32146	1.58791	1.34731	0.94211	1.39271	1.34831	1.84761	0.88575
10	72.11003	0.20357	0.46005	0.73568	0.56360	0.32038	0.47091	1.19570
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
